path	bytes	class	risk	reason
tmp/lighthouse-mobile-1786918570957.json	542248	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786844081810.json	538959	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786843984456.json	537679	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786932010280.json	516340	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786932057002.json	516284	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786937922544.json	515815	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-mobile-1786741775195.json	509973	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786918570957.json	509106	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786932108114.json	496680	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-latest.json	494805	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786937249950.json	494805	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786843984456.json	494072	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786937922544.json	490209	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786932057002.json	487504	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-paged-mapped.txt	484813	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-full-interval-b.txt	484813	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-full-interval-a.txt	484813	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786937886285.json	481944	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786932010280.json	477693	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-overlap-guard3	473787	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-overlap-base	457294	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786741775195.json	440918	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/lighthouse-desktop-1786844081810.json	433894	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rf-common-candidate	400167	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/.tmp-audit-entries.json	394329	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-final3	376568	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/contract-audit-results.json	372001	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ui-quality-contract	363896	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/.tmp-audit-listing.txt	326771	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ram-paging-trend-20260817-014400	322210	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-css-budget	315414	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/remote-it-capture.png	309744	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-neighbors-verify	304919	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/spec-mine-file.js	304185	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-nonpaged-mapped.txt	289565	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-nonpaged-interval-b.txt	289565	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-nonpaged-interval-a.txt	289565	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/surface-contract-check	282747	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-2026-08-15	226821	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-final-combo	224996	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-w24-full	222263	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-direct-adapter-hardening-20260818-v2	218092	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-audit	188665	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-journey-conversion.log	187824	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-smoke-revert.log	184707	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-jobs	168934	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-fix-deadcss	166093	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/delegation-20260818	164512	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/__pycache__	163317	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-browser-parity-wave-20260810	156314	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/poolmon-snapshot.txt	156085	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-all-data-selectors.txt	152573	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W3-units.log	148788	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16d-m1	147369	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16d-m2	147367	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dead-export-sweep-REPORT.md	143500	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16b-v1	143292	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16-w1	143286	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16-w2	143280	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16c-n2	143145	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-16c-n1	143141	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-claims-verified.raw.json	137551	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-S1-copy-strike	133368	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-patchA	132293	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-tmp-audit-20260818	119012	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/three-star-consumers-rg.txt	113751	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/model-health	109045	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/node-spike-20260817-015212	103547	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/model-health-runtime-swarm-20260816	99199	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/project-shittiest-parts-swarm-20260818	98173	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-probe.bmp	96486	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-base-b1	94257	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-base-b2	94180	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/test-failure-legibility	93419	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-flakefix-f2	92594	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-flakefix-f3	92482	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-flakefix-f1	92482	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-w24-flaky1	92426	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/patchB-run1	92426	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-w24-verify	92424	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-key-probes-20260810	92373	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-w24-plain	92349	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-w24-flaky2	92349	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/patchB-run3	92349	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/patchB-run2	92349	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-worker-metadata-REPORT.md	90026	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vitest-run-output.txt	87823	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-explorer-wave-20260812	76414	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-results.json	70820	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-audit	68090	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/goal-loop-swarm-20260811	64473	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/motion-panel-rich-report.md	64166	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/vision-quality-logfare-wave-20260810	62962	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/delegation-wave-20260808	60996	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-qa-20260807	59077	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-goal-parity-logfare-swarm-20260810	58113	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/catalog-health-swarm-20260814	56950	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dead-export-recheck-REPORT.md	56810	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/short-landscape-review-20260812	55271	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-adapter-400-20260817	55208	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/model-health-swarm-20260816	54329	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-overlay-split-PLAN.md	54238	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/architecture-swarm-20260816	53719	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-logfare-2026-08-18	52378	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/quality-swarm-20260811	50961	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/micro-surface-interactions-contract	45676	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/all-tests-output.txt	45597	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/core-old.ts	44555	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/renderer-diagnostics-wave-20260807	44246	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/all-css-classes-copy.txt	43090	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dead-classes-out.txt	43089	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w39-csssweep	42967	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/focus-overlay-optimization-wave-20260807	42834	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-subagent-probes	42571	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h1-data.json	41511	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-url-restore.ts	41340	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-loop-guard-20260811	41198	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-gaps-run2.json	40906	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/renderer-wave-audit-20260807	40490	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/model-health-design-20260816	39581	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/model-source-audit-health.json	39573	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/quality-wave-20260811	38643	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/surface-redundancy-contract	38329	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/worker-scan-result.json	38149	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-qualification-20260808	36825	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-2026-08-16	36492	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-audit-browser-responsive-20260812	36271	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-render-wave-20260807	36074	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/css-budget-swarm-20260816	35857	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/engine-mapstate-split-PLAN.md	35776	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-data-attrs.txt	35677	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/layout-forensics-report.md	35606	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-gaps.json	35596	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/static-panel-rich-report.md	35390	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/url-restore-split-PLAN.md	35281	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/open-threads-audit-20260807	35253	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W1-dynamic-imports	35008	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/shittiest-state-orchestration-20260812	34958	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-parity-attrs.svelte.ts	34739	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w53-jury-report.md	34513	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/worker-sweep-result.json	33522	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-app.svelte.ts	33146	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/app-svelte-split-PLAN.md	32787	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/3d-batch-d3d11.json	32787	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-search-orchestration-20260812	32061	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/focus-ui-split-PLAN.md	31951	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-explorer-ui-wave-20260811-fallback	31851	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-image-compaction-design-20260810	31549	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-labyrinth-REPORT.md	30390	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-gaps-run4.json	30082	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/w53-visual-audit-report.md	29735	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-data-store.ts	29495	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-H1-manifest.md	29276	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/harness-skills-trim-REPORT.md	29248	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/thread-provenance-audit	28582	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/demo-consolidation-PLAN.md	28558	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-132-journey-drafts.spec.js	28441	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-parity-attrs.txt	27684	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/a11y-bugsweep.md	27097	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-qa-20260811-final-desktop-snapshot.md	26745	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ur-restore-restructure.md	26586	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/docs-refs.txt	26428	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/h3sa-head-fat.ts	26375	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/fat_three_search.ts	26375	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/dots-studio-integration	24989	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/visual-qa-20260811-fixed-desktop-snapshot.md	24578	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/cld80211_fuzz.c	24463	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/engine-lifecycle-bugsweep.md	24413	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-model-sweep-20260816	24073	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W4-engine-hygiene	23972	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/journey-flake-patterns-REPORT.md	23883	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-state-validation.ts	23871	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/flesh-swarm	23807	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-deployability-signal	23798	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/semantic-state-wave-audit-20260807	23776	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-audit-fix-judge-20260812-retry	23402	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/pi-autoturn-swarm-20260811	23313	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W2-test-sprawl	23194	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/css-budget-decompose-20260816	23160	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-obs-external-envelope	22863	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/rest-test-output.txt	22837	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/ts-resolve-loader.current.bak.mjs	22764	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W3-url-restore-split	22530	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/test-output.txt	22114	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/nav-test-output.txt	22114	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/review-dirty-sweep.md	22110	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-state-truth-audit-20260812	21942	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/fullgate-units.log	21852	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-swarm-20260816	21817	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/urlstate-split-plan.md	21574	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/stores-contract-coverage.md	21523	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/worker-final-state.json	21421	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-inside-2026-08-06.jsonl	21305	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/session-state-2026-08-06.md	21264	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-dataset-writes.txt	21224	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/bugsweep-deepseek-v4-flash-report.md	21212	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-camera.svelte.ts	20972	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-h3sa-REPORT.md	20644	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/engine-three-godfiles-REPORT.md	20620	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/contract-categorization-REPORT.md	20548	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-data-loader.ts	20450	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-journey.svelte.ts	20307	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/logfare-audit-search-url-races-20260812	20254	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-rg-dataset-dot.txt	20236	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-navigation-state.svelte.ts	20167	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-god-component-report.md	19565	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/css-budget-next-20260816	19236	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/subagent-perf-audit-report.md	19215	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/audit-raw.json	19131	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/delegation-20260815-kiro-state-url.md	19099	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-journey-full-20260813-final.log	18903	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/delegation-20260815-minimax-test-release.md	18883	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/transformed-aria-sync-contract.mjs	18810	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/contract-staleness-REPORT.md	18672	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-responsive-a11y-audit-20260812	18549	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/three-star-split-PLAN.md	18035	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-parity-lockstep-audit-20260812	17900	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-data-race-audit-20260812	17761	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/parity-claims-verified-REPORT.md	17623	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/kilo-hy3-performance-hotpath-audit-20260812	17614	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/qa-journey-full-20260813.log	17516	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/review-url-restore-plan.md	17380	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/app-init-result.txt	17356	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
tmp/swarm-W3-suspects.log	17262	SEMANTIC-SCRAP	LOW	Semantic-explorer artifact - disposable
